custom_exercise,exercise_name,equipment,muscle_group,exercise_group,main_muscle,auxiliary_muscles,size,metrics,bodyweight,notes
FALSE,Preacher Curls,Machine,Upper Body,Biceps Curl,Biceps,,,,,
FALSE,Pull-Ups with Close Neutral Grip,Bodyweight,Upper Body,Pull-Up,Lats,,,,,
FALSE,Pull-Ups with Wide Overhand Grip,Bodyweight,Upper Body,Pull-Up,Lats,,,,,
FALSE,Pullovers,Cable,Upper Body,Lat Pull,Lats,,,,,
FALSE,Push-Ups,Bodyweight,Upper Body,Push-Up,Chest,,,,,
FALSE,Reverse Butterfly with Wide Grip,Machine,Upper Body,Reverse Fly,Rear delts,,,,,
FALSE,Romanian Deadlifts,Barbell,Lower Body,Deadlift,Glutes,,,,,
FALSE,Rows with Close Grip,Cable,Upper Body,Row,Upper back,,,,,
FALSE,Rows with Close Grip,TRX,Upper Body,Row,Upper back,,,,,
FALSE,Rows with Reverse Grip,Cable,Upper Body,Row,Upper back,,,,,
FALSE,Rows with Wide Neutral Grip,Cable,Upper Body,Row,Upper back,,,,,
FALSE,Russian Swings,Kettlebells,Upper Body,Row,Upper back,,,,,
FALSE,Russian Twists,Bodyweight,Core,Other,Abs,,,,,
FALSE,Seated Calf Raises,Machine,Lower Body,Calf Raise / Press,Calves,,,,,
FALSE,Seated Curls,Dumbbells,Upper Body,Biceps Curl,Biceps,,,,,
FALSE,Seated Lateral Raises,Dumbbells,Upper Body,Lateral Raise,Side delts,,,,,
FALSE,Seated Leg Curls,Machine,Lower Body,Leg Curl,Hams,,,,,
FALSE,Seated Shoulder Press,Barbell,Upper Body,Shoulder Press,Front delts,,,,,
FALSE,Seated Shoulder Press,Dumbbells,Upper Body,Shoulder Press,Front delts,,,,,
FALSE,Shoulder Press,Machine,Upper Body,Shoulder Press,Front delts,,,,,
FALSE,Side Bends on Roman Chair,Bodyweight,Core,Side Abs,Abs,,,,,
FALSE,Side Plank,Bodyweight,Core,Side Abs,Abs,,,,,
FALSE,Side Split Squats,Dumbbells,Lower Body,Squat,Quads,,,,,
FALSE,Skull Crushers,Cable,Upper Body,Triceps Extension,Triceps,,,,,
FALSE,Skull Crushers,EZ bar,Upper Body,Triceps Extension,Triceps,,,,,
FALSE,Squats,Barbell,Lower Body,Squat,Quads,,,,,
FALSE,Squats,Smith machine,Lower Body,Squat,Quads,,,,,
FALSE,Standing Calf Raises,Bodyweight,Lower Body,Calf Raise / Press,Calves,,,,,
FALSE,Standing Calf Raises,Machine,Lower Body,Calf Raise / Press,Calves,,,,,
FALSE,Standing Shoulder Press,Barbell,Upper Body,Shoulder Press,Front delts,,,,,
FALSE,Triceps Pushdowns,Cable,Upper Body,Triceps Extension,Triceps,,,,,
FALSE,Triceps Pushdowns with Rope,Cable,Upper Body,Triceps Extension,Triceps,,,,,
FALSE,Upright Rows,Barbell,Upper Body,Row,Upper back,,,,,
