
"PerGlu · Day 3 · Week 5 · Verão · Deload";"2024-10-30 16:32 h";"1:16 hr"
"3. Reverse Butterfly with Wide Grip · Machine · 12 reps"
#;KG;REPS
1;28;12
2;28;12
3;28;15
"4. Rows with Reverse Grip · Cable · 12 reps"
#;KG;REPS
1;40;12
2;40;12
3;40;15
"5. Pullovers · Cable · 12 reps"
#;KG;REPS
1;45;12
2;45;12
3;45;14
"6. Seated Curls · Dumbbells · 12 reps"
#;KG;REPS
1;12;8
2;12;8
3;12;12
"7. Plank · Bodyweight";"Sentindo mais o ombro que o abdômen, principalmente mais pra frente"
#;MINS
1;1:20
2;0:55
3;0:50

"PerGlu · Day 3 · Week 2 · Verão · Deload";"2024-10-12 10:00 h";"1:11 hr"
"1. Leg Press · Machine · 12 reps"
#;KG;REPS
1;210;12
2;210;12
3;210;15
"2. Leg Curls on Leg Extension Machine · Machine · 12 reps"
#;KG;REPS
1;23;12
2;23;12
3;23;15
"3. Calf Raises on Leg Press · Machine · 12 reps";"Leg horizontal, duas pernas"
#;KG;REPS
1;100;12
2;100;12
3;100;15
"4. Hip Abduction · Cable · 12 reps"
#;KG;REPS
1;18;12
2;17;12
3;17;12
"5. Leg Extensions · Machine · 12 reps"
#;KG;REPS
1;72;12
2;72;12
3;72;15
"6. Seated Leg Curls · Machine · 12 reps"
#;KG;REPS
1;60;12
2;60;12
3;60;15

"PeiTriOm · Day 2 · Week 2 · Verão · Deload";"2024-10-11 16:15 h";"59 min"
"1. Chest Press · Machine · 12 reps"
#;KG;REPS
1;30;12
2;30;12
3;30;15
"2. Incline Bench Press · Barbell · 12 reps";"Dois buracos aparecendo no banco. Uns 40°"
#;KG;REPS
1;32;12
2;30;12
3;30;10
"3. Triceps Pushdowns · Cable · 12 reps"
#;KG;REPS
1;40;12
2;40;12
3;40;11
"4. Seated Lateral Raises · Dumbbells · 12 reps"
#;KG;REPS
1;8;12
2;8;12
3;8;14
"5. Shoulder Press · Machine · 12 reps"
#;KG;REPS
1;20;12
2;20;12
3;20;15
"6. L Raises · Bodyweight · 12 reps"
#;REPS
1;12
2;12
3;9

"CosBi · Day 1 · Week 2 · Verão · Deload";"2024-10-10 16:39 h";"1:05 hr"
"1. Lat Pulldowns with Wide Neutral Grip · Cable · 12 reps"
#;KG;REPS
1;55;12
2;55;12
3;55;12
"2. One-Arm Rows · Dumbbells · 12 reps"
#;KG;REPS
1;20;12
2;20;12
3;20;12
"3. Reverse Butterfly with Wide Grip · Machine · 12 reps"
#;KG;REPS
1;28;12
2;28;12
3;28;14
"4. Pullovers · Cable · 12 reps"
#;KG;REPS
1;45;12
2;45;12
3;45;13
"5. Seated Curls · Dumbbells · 12 reps"
#;KG;REPS
1;10;12
2;10;12
3;10;15
"6. Plank · Bodyweight"
#;MINS
1;1:10
2;1:10
3;1:10

"PerGlu · Day 3 · Week 1 · Verão · Deload";"2024-10-09 16:04 h";"46 min"
"1. Leg Press · Machine · 12 reps"
#;KG;REPS
1;200;12
2;200;12
3;200;12
4;210;10
"2. Leg Curls on Leg Extension Machine · Machine · 12 reps"
#;KG;REPS
1;23;12
2;23;12
3;23;12
4;23;12
"3. Seated Calf Raises · Machine · 12 reps"
#;KG;REPS
1;55;12
2;55;12
3;55;11
4;55;10

"PeiTriOm · Day 2 · Week 1 · Verão · Deload";"2024-10-08 15:25 h";"51 min"
"1. Incline Archer Push-Ups · Bodyweight · 12 reps";"Altura 8"
#;REPS
1;12
2;12
3;12
4;12
"2. Dips · Bodyweight · 12 reps"
#;KG;REPS
1;+0;10
2;+0;4
3;+0;4
4;+0;2
"3. L Raises · Bodyweight · 12 reps"
#;REPS
1;10
2;7
3;6
4;7
"4. Lean Away Lateral Raises · Cable · 12 reps"
#;KG;REPS
1;6;11
2;5;12
3;5;12
4;5;12

"CosBi · Day 1 · Week 1 · Verão · Deload";"2024-10-07 17:47 h";"50 min"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 12 reps"
#;KG;REPS
1;+0;8
2;+0;4
3;+0;4
4;+0;3
"2. Inverted Rows on Smith Machine with Reverse Grip · Bodyweight · 12 reps";"Barra altura 11, pé no chão. Abaixei na terceira série pra facilitar. Dá pra subir pra altura 12 na próxima eu acho"
#;KG;REPS
1;+0;6
2;+0;6
3;+0;8
4;+0;7
"3. Seated Curls · Dumbbells · 12 reps"
#;KG;REPS
1;10;12
2;10;12
3;10;12
4;10;12
