
"1. Lat Pulldowns with Wide Neutral Grip · Cable";"3 sets";"12 reps"
"2. Incline Rows · Dumbbells";"3 sets";"12 reps"
"3. Reverse Butterfly with Wide Grip · Machine";"3 sets";"12 reps"
"4. Rows with Reverse Grip · Cable";"3 sets";"12 reps"
"5. Pullovers · Cable";"3 sets";"12 reps"
"6. Seated Curls · Dumbbells";"3 sets";"12 reps"
"7. Plank · Bodyweight";"3 sets"
"Day 2 · PeiTriOm"
"1. Bench Press · Barbell";"3 sets";"12 reps"
"2. Incline Bench Press · Barbell";"3 sets";"12 reps"
"3. Triceps Pushdowns · Cable";"3 sets";"12 reps"
"4. Seated Lateral Raises · Dumbbells";"3 sets";"12 reps"
"5. Incline Front Raises · Barbell";"3 sets";"12 reps"
"6. Seated Shoulder Press · Barbell";"3 sets";"12 reps"
"7. Weighted L Raises · Bodyweight";"3 sets";"10 reps"
"Day 3 · PerGlu"
"1. Leg Press · Machine";"3 sets";"12 reps"
"2. Leg Curls on Leg Extension Machine · Machine";"3 sets";"12 reps"
"3. Bilateral Calf Press - Horizontal Leg Press · Machine";"3 sets";"12 reps"
"4. Diagonal Hip Abduction · Machine";"3 sets";"12 reps"
"5. Leg Extensions · Machine";"3 sets";"12 reps"
"6. Seated Leg Curls · Machine";"3 sets";"12 reps"
"7. Back Extensions on Roman Chair · Bodyweight";"3 sets";"12 reps"

"Jampa · 2 weeks";2024-09-16
"Day 1 · CosBi"
"1. Chest-Supported Low Rows with Neutral Grip · Machine";"3 sets";"12 reps"
"2. Lat Pulldowns with Wide Overhand Grip · Cable";"3 sets";"12 reps"
"3. Incline Reverse Flys · Dumbbells";"3 sets";"12 reps"
"4. Pullovers · Cable";"3 sets";"12 reps"
"5. Curls · Dumbbells";"3 sets";"12 reps"
"Day 2 · PeiTriOm"
"1. Chest Press · Machine";"3 sets";"12 reps"
"2. Incline Bench Press · Dumbbells";"3 sets";"10 reps"
"3. Triceps Pushdowns · Cable";"3 sets";"12 reps"
"4. Seated Lateral Raises · Dumbbells";"3 sets";"12 reps"
"5. Seated Shoulder Press · Dumbbells";"3 sets";"12 reps"
"6. Pseudo Push-Ups · Bodyweight";"3 sets";"12 reps"
"Day 3 · PerGlu"
"1. Leg Press · Machine";"3 sets";"12 reps"
"2. Calf Raises on Leg Press · Machine";"3 sets";"12 reps"
"3. Seated Leg Curls · Machine";"3 sets";"12 reps"
"4. Hip Abduction · Machine";"3 sets";"12 reps"
"5. Leg Extensions · Machine";"3 sets";"12 reps"
"6. Lying Leg Curls · Machine";"3 sets";"12 reps"

"Pique 1-2-3 · 1 week";2024-09-03
"Day 1 · Day 1"
"1. Pull-Ups with Close Neutral Grip · Bodyweight";"3 sets";"10 reps"
"2. Push-Ups · Bodyweight";"3 sets";"10 reps"
"3. Pistol Squats · TRX";"3 sets";"10 reps"
"4. L Raises · Bodyweight";"3 sets";"10 reps"
"Day 2 · Day 2"
"1. One-Arm Rows · Dumbbells";"3 sets";"10 reps"
"2. Dips · Bodyweight";"3 sets";"10 reps"

"Transição · 2 weeks";2024-08-20
"Day 1 · CosBi"
"1. Lat Pulldowns with Wide Overhand Grip · Cable";"3 sets";"12 reps"
"2. One-Arm Rows · Dumbbells";"3 sets";"12 reps"
"3. Reverse Butterfly with Wide Grip · Machine";"3 sets";"12 reps"
